198.81.233.246,1,98.97.56.1,24.46,1722013037.0836825
198.81.233.246,2,172.16.250.44,41.034,1722013037.0946689
198.81.233.246,3,206.224.65.244,30.78,1722013037.0946689
198.81.233.246,4,206.224.65.236,32.443,1722013037.0946689
198.81.233.246,7,38.140.129.74,33.822,1722013037.0946689
198.81.233.246,8,198.81.233.89,18.571,1722013037.0946689
198.81.233.246,9,198.81.233.54,181.023,1722013037.0946689
198.81.233.246,10,202.128.2.1,151.003,1722013037.0946689
198.81.233.246,11,198.81.233.27,163.335,1722013037.0946689
198.81.233.246,12,198.81.233.246,175.098,1722013037.0946689
cust-fgt.maxnet.ao,1,98.97.56.1,33.783,1722013050.0162034
cust-fgt.maxnet.ao,2,172.16.250.44,34.345,1722013050.0162034
cust-fgt.maxnet.ao,3,206.224.66.0,36.127,1722013050.0162034
cust-fgt.maxnet.ao,4,206.224.65.234,45.987,1722013050.0162034
cust-fgt.maxnet.ao,5,206.72.210.122,55.513,1722013050.0162034
cust-fgt.maxnet.ao,6,184.104.194.98,54.067,1722013050.0162034
cust-fgt.maxnet.ao,7,184.105.81.167,52.348,1722013050.0162034
cust-fgt.maxnet.ao,8,184.104.197.42,62.699,1722013050.0162034
cust-fgt.maxnet.ao,10,216.66.24.79,83.873,1722013050.0162034
cust-fgt.maxnet.ao,11,197.234.114.254,257.783,1722013050.0162034
cust-fgt.maxnet.ao,12,160.242.119.56,256.608,1722013050.0162034
cust-fgt.maxnet.ao,13,160.242.119.66,257.64,1722013050.0162034
cust-fgt.maxnet.ao,14,197.234.114.109,259.913,1722013050.0162034
cust-fgt.maxnet.ao,15,160.242.19.254,257.294,1722013050.0162034
monitor.ita.ao,1,98.97.56.1,21.65,1722013063.7220874
monitor.ita.ao,2,172.16.250.44,20.79,1722013063.7220874
monitor.ita.ao,3,206.224.66.0,21.587,1722013063.7220874
monitor.ita.ao,4,206.224.65.234,18.615,1722013063.7220874
monitor.ita.ao,7,184.105.81.167,48.697,1722013063.7220874
monitor.ita.ao,8,184.104.197.42,54.47,1722013063.7220874
monitor.ita.ao,10,216.66.24.79,84.698,1722013063.7220874
monitor.ita.ao,11,197.234.114.254,258.839,1722013063.7220874
monitor.ita.ao,12,160.242.119.56,265.957,1722013063.7220874
monitor.ita.ao,13,160.242.119.66,261.567,1722013063.7220874
