198.81.233.246,1,98.97.56.1,34.659,1721056663.1456048
198.81.233.246,2,172.16.251.22,29.964,1721056663.1552963
198.81.233.246,3,206.224.65.250,30.403,1721056663.1552963
198.81.233.246,4,206.224.65.232,30.702,1721056663.1552963
198.81.233.246,5,65.175.1.33,30.465,1721056663.1552963
198.81.233.246,7,38.140.129.74,30.007,1721056663.1552963
198.81.233.246,8,198.81.233.89,42.459,1721056663.1552963
198.81.233.246,9,198.81.233.68,146.236,1721056663.1552963
198.81.233.246,10,202.128.2.1,146.714,1721056663.1552963
198.81.233.246,11,198.81.233.27,138.113,1721056663.1552963
198.81.233.246,12,198.81.233.246,149.177,1721056663.1552963
cust-fgt.maxnet.ao,1,98.97.56.1,21.739,1721056676.0550933
cust-fgt.maxnet.ao,2,172.16.251.22,26.746,1721056676.0550933
cust-fgt.maxnet.ao,3,206.224.65.246,23.089,1721056676.0550933
cust-fgt.maxnet.ao,4,206.224.65.236,25.355,1721056676.0550933
cust-fgt.maxnet.ao,5,206.72.210.122,31.944,1721056676.0550933
cust-fgt.maxnet.ao,7,184.105.81.167,65.373,1721056676.0550933
cust-fgt.maxnet.ao,8,184.104.197.42,60.852,1721056676.0550933
cust-fgt.maxnet.ao,10,216.66.24.79,79.734,1721056676.0550933
cust-fgt.maxnet.ao,11,197.234.114.254,260.484,1721056676.0550933
cust-fgt.maxnet.ao,12,160.242.119.56,263.797,1721056676.0550933
cust-fgt.maxnet.ao,13,160.242.119.66,255.684,1721056676.0550933
cust-fgt.maxnet.ao,14,197.234.114.109,290.843,1721056676.0550933
cust-fgt.maxnet.ao,15,160.242.19.254,275.11,1721056676.0550933
monitor.ita.ao,1,98.97.56.1,28.37,1721056691.139866
monitor.ita.ao,2,172.16.251.22,39.904,1721056691.139866
monitor.ita.ao,3,206.224.65.246,39.712,1721056691.139866
monitor.ita.ao,4,206.224.65.236,36.585,1721056691.139866
monitor.ita.ao,10,216.66.24.79,104.686,1721056691.139866
monitor.ita.ao,11,197.234.114.254,273.664,1721056691.139866
monitor.ita.ao,12,160.242.119.56,271.591,1721056691.139866
monitor.ita.ao,13,160.242.119.66,264.858,1721056691.139866
monitor.ita.ao,14,197.234.114.109,326.754,1721056691.139866
monitor.ita.ao,15,160.242.19.254,277.65,1721056691.139866
105.235.237.2,1,98.97.56.1,41.369,1721056712.8679574
105.235.237.2,2,172.16.251.22,43.676,1721056712.8679574
105.235.237.2,3,206.224.65.246,79.522,1721056712.8679574
105.235.237.2,4,206.224.65.228,41.376,1721056712.8679574
105.235.237.2,5,206.72.210.122,50.453,1721056712.8679574
105.235.237.2,6,72.52.92.121,61.011,1721056712.8679574
105.235.237.2,13,184.104.224.194,283.93,1721056712.8679574
105.235.237.2,14,197.214.66.58,338.061,1721056712.8679574
105.235.237.2,15,197.214.64.98,342.723,1721056712.8679574
105.235.237.2,16,197.214.66.35,341.021,1721056712.8679574
105.235.237.2,17,105.235.237.197,340.797,1721056712.8679574
105.235.237.2,18,105.235.237.2,340.963,1721056712.8679574
speedtestfl.telecom.mu,1,98.97.56.1,23.244,1721056721.5180585
speedtestfl.telecom.mu,2,172.16.251.22,25.984,1721056721.5180585
speedtestfl.telecom.mu,3,206.224.65.246,23.356,1721056721.5180585
speedtestfl.telecom.mu,4,206.224.65.236,25.64,1721056721.5180585
speedtestfl.telecom.mu,5,4.7.108.221,27.857,1721056721.5180585
speedtestfl.telecom.mu,6,171.75.8.243,173.239,1721056721.5180585
speedtestfl.telecom.mu,7,213.19.217.14,175.395,1721056721.5180585
speedtestfl.telecom.mu,8,197.226.230.20,349.49,1721056721.5180585
speedtestfl.telecom.mu,9,196.20.225.182,350.907,1721056721.5180585
speedtestfl.telecom.mu,10,197.226.230.3,352.101,1721056721.5180585
speedtestfl.telecom.mu,11,197.226.230.8,347.828,1721056721.5180585
speedtestfl.telecom.mu,12,197.226.230.13,355.672,1721056721.5180585
speedtestfl.telecom.mu,13,197.227.12.18,352.504,1721056721.5180585
speedtest.telecom.mu,1,98.97.56.1,18.983,1721056740.6029851
speedtest.telecom.mu,2,172.16.251.22,20.403,1721056740.6029851
speedtest.telecom.mu,3,206.224.66.2,29.704,1721056740.6029851
speedtest.telecom.mu,4,206.224.65.234,26.587,1721056740.6029851
speedtest.telecom.mu,5,65.175.1.33,26.294,1721056740.6029851
speedtest.telecom.mu,6,89.149.140.77,22.261,1721056740.6029851
speedtest.telecom.mu,7,64.86.197.98,19.256,1721056740.6029851
speedtest.telecom.mu,12,63.243.218.16,173.802,1721056740.6029851
speedtest.telecom.mu,15,80.231.20.106,170.667,1721056740.6029851
speedtest.telecom.mu,16,80.231.20.99,188.274,1721056740.6029851
speedtest.telecom.mu,17,196.20.225.182,349.753,1721056740.6029851
speedtest.telecom.mu,18,197.226.230.1,352.098,1721056740.6029851
speedtest.telecom.mu,19,202.123.3.108,343.784,1721056740.6029851
iperf3.ddng.isnet.net,1,98.97.56.1,34.333,1721056748.6880572
iperf3.ddng.isnet.net,2,172.16.251.22,35.224,1721056748.6880572
iperf3.ddng.isnet.net,3,206.224.65.246,45.962,1721056748.6880572
iperf3.ddng.isnet.net,4,206.224.65.228,32.662,1721056748.6880572
iperf3.ddng.isnet.net,5,65.175.1.33,36.965,1721056748.6880572
iperf3.ddng.isnet.net,6,154.54.10.225,37.869,1721056748.6880572
iperf3.ddng.isnet.net,7,154.54.25.149,44.444,1721056748.6880572
iperf3.ddng.isnet.net,8,154.54.45.161,43.229,1721056748.6880572
iperf3.ddng.isnet.net,9,154.54.26.54,52.545,1721056748.6880572
iperf3.ddng.isnet.net,10,154.54.165.29,94.933,1721056748.6880572
iperf3.ddng.isnet.net,11,154.54.163.53,78.977,1721056748.6880572
iperf3.ddng.isnet.net,12,154.54.24.221,98.22,1721056748.6880572
iperf3.ddng.isnet.net,13,154.54.165.18,94.347,1721056748.6880572
iperf3.ddng.isnet.net,14,154.54.42.86,169.438,1721056748.6880572
iperf3.ddng.isnet.net,15,154.54.62.6,174.957,1721056748.6880572
iperf3.ddng.isnet.net,16,149.6.148.134,165.31,1721056748.6880572
iperf3.ddng.isnet.net,17,168.209.246.16,170.2,1721056748.6880572
iperf3.ddng.isnet.net,18,196.36.50.154,170.993,1721056748.6880572
iperf3.ddng.isnet.net,19,196.200.124.38,262.374,1721056748.6880572
iperf3.ddng.isnet.net,20,196.200.124.37,258.589,1721056748.6880572
iperf3.ddng.isnet.net,21,196.200.117.92,259.003,1721056748.6880572
iperf3.ddng.isnet.net,22,41.73.156.132,263.149,1721056748.6880572
154.113.144.146,1,98.97.56.1,35.686,1721056793.1147308
154.113.144.146,2,172.16.251.22,36.805,1721056793.1147308
154.113.144.146,3,206.224.65.246,36.425,1721056793.1147308
154.113.144.146,4,206.224.65.236,29.136,1721056793.1147308
154.113.144.146,5,4.7.108.221,50.186,1721056793.1147308
154.113.144.146,6,171.75.8.87,205.797,1721056793.1147308
154.113.144.146,7,212.162.42.74,266.776,1721056793.1147308
154.113.144.146,8,154.113.144.102,265.577,1721056793.1147308
154.113.144.146,9,154.113.144.102,257.258,1721056793.1147308
154.113.144.146,29,154.113.144.102,914.163,1721056793.1147308
sl-01-kgl.rw.seacomnet.com,1,98.97.56.1,27.886,1721056800
sl-01-kgl.rw.seacomnet.com,2,172.16.251.22,28.694,1721056800
sl-01-kgl.rw.seacomnet.com,3,206.224.65.254,37.688,1721056800
sl-01-kgl.rw.seacomnet.com,4,206.224.65.230,43.812,1721056800
sl-01-kgl.rw.seacomnet.com,5,65.175.1.33,33.335,1721056800
sl-01-kgl.rw.seacomnet.com,6,141.136.111.174,181.078,1721056800
